"gene","M-F_log2ratio","pval","chr","human_ortholog"
"LOC702071",0.119093582008475,0.056344794530969,"6","PCDHGC5"
"RBM19",0.11890455165588,0.0936272627026355,"11","RBM19"
"NUDT2",0.118871723214257,0.160925407391371,"15","NUDT2"
"GPNMB",0.118857018909367,0.0329274674089031,"3","GPNMB"
"MCAT",0.118587018174601,0.12950676693294,"10","MCAT"
"CSRP2",0.118498227350499,0.0302952076887903,"11","CSRP2"
"SRSF6",0.118490086789517,0.0627063950956527,"10",NA
"TMEM108",0.118349590240528,0.0185854405610455,"2","TMEM108"
"DGCR6",0.118236072232663,0.146914624490664,"10","DGCR6"
"LOC710758",0.117996388978932,0.317163758203178,"17",NA
"C18orf10",0.117952272302025,0.0556486767824975,"18","TPGS2"
"PRKCA",0.117689927382262,0.179755047207746,"16","PRKCA"
"NFKB1",0.117381963736723,0.0268126752076761,"5","NFKB1"
"DDIT4L",0.117317207209026,0.0655177029758421,"5","DDIT4L"
"ACO2",0.117267859719472,0.268192869416851,"10","ACO2"
"MGST2",0.116813515191679,0.258572591944337,"5","MGST2"
"LOC697030",0.116762844869199,0.0831144643435198,"1",NA
"LOC699931",0.116716009733811,0.507334252619396,"10","CRNKL1"
"LOC710667",0.116505695284784,0.248540978823419,"3","COPS6"
"PRKX",0.116345291921592,0.0289802653261798,"X","PRKX"
"LOC704348",0.116210613484999,0.204461150395533,"5","LOC728819"
"LOC706465",0.11605871499343,0.269227060718215,"7","PLIN1"
"SDF4",0.115751850626774,0.0908073245288612,"1","SDF4"
"PLSCR1",0.115750869079851,0.0256221502451607,"2","PLSCR1"
"CCT5",0.115740530952362,0.0203574620173305,"6","CCT5"
"CAND2",0.115717429765416,0.0195868721181807,"2","CAND2"
"OGFOD3",0.115712927250773,0.0354068600435697,"16","OGFOD3"
"LOC712353",0.115513840570517,0.202638728732071,"19","AES"
"MLF1",0.115444414458662,0.208170680759672,"2","MLF1"
"NXF1",0.115407382963013,0.150539548516299,"14","NXF1"
"GNAI2",0.115388995990879,0.105148138841244,"2","GNAI2"
"POLR2I",0.115329377676587,0.156377459572786,"19","POLR2I"
"MARS",0.115015000452979,0.173979767377157,"11","MARS"
"ANXA5",0.114907354746166,0.0887336320935006,"5","ANXA5"
"FAM133B",0.114653643121024,0.0574044404886159,"3","FAM133B"
"RPAP1",0.114604746952038,0.310543568495401,"7","RPAP1"
"TEK",0.11449934039818,0.139039867469931,"15","TEK"
"PDF",0.114436591677548,0.202699804189707,"20","PDF"
"DHPS",0.114398813778702,0.136875029274045,"19","DHPS"
"C14H11orf57",0.113993491864004,0.277053031805658,"14","C11orf57"
"LOC720960",0.113886342157007,0.0929489251883475,"14",NA
"MCEE",0.113799163471886,0.556848790909736,"13","MCEE"
"TMEM177",0.113736655789982,0.260946172431847,"13","TMEM177"
"LOC714721",0.113566220744037,0.0986590932442248,"11","SDSL"
"SLC25A28",0.113475076873353,0.195811741768502,"9","SLC25A28"
"LOC722074",0.113470270017361,0.109819577471414,"16","SCO1"
"LOC718634",0.113464934881539,0.0814519945848482,"20","ZDHHC7"
"RPS19BP1",0.113277795314328,0.141757461911699,"10","RPS19BP1"
"LOC718355",0.113182754652529,0.125365453932075,"19","GRAMD1A"
"SHMT1",0.113118468935907,0.176297869397792,"16","SHMT1"
"LOC719122",0.113021099954335,0.239399480954106,"3",NA
"C20orf29",0.11301262739789,0.0896625847601173,"10","AP5S1"
"DMRT3",0.112944754704941,0.239304597702344,"15","DMRT3"
"PAQR6",0.112901286970355,0.0685082024298835,"1","PAQR6"
"CCND2",0.112752504423733,0.0855261549511086,"11",NA
"YARS",0.112574810438322,0.12932972170489,"1","YARS"
"LOC100430236",0.112559248588679,0.206972661853575,"1",NA
"DLK1",0.112512792922473,0.219309047038354,"7","DLK1"
"C14orf153",0.112329112688915,0.0709026222815825,"7","APOPT1"
"DLG5",0.11219132352454,0.230912941273309,"9",NA
"POLE2",0.112016105303167,0.315513645951912,"7","POLE2"
"ASH2L",0.111965152905726,0.254825264131025,"8","ASH2L"
"NDUFB6",0.111942240046862,0.19553245936967,"15","NDUFB6"
"WNT8B",0.111807641607918,0.392779753285517,"9","WNT8B"
"VEPH1",0.111774796812643,0.214830195508151,"2","VEPH1"
"LMNB1",0.111716398224858,0.118507277146712,"6","LMNB1"
"SDHAF1",0.111665530137015,0.0660432378367721,"19","SDHAF1"
"LOC697534",0.111661258057292,0.0446485502597482,"6",NA
"NDUFA10",0.111654982511125,0.0921412913325466,"12","NDUFA10"
"MRP63",0.111591561222927,0.152518031178307,"17","MRP63"
"USP11",0.111550414189025,0.371946877046775,"X","USP11"
"SAMM50",0.111519332337502,0.199971592250087,"10","SAMM50"
"SPG20",0.11139440552924,0.234220956799061,"17","SPG20"
"EIF4E2",0.111292010806943,0.0982473618687889,"12","EIF4E2"
"KIF5B",0.111169623566803,0.443815648513555,"9","KIF5B"
"LOC710571",0.111111596252867,0.0409618728044459,"17","MTIF3"
"EMX2",0.11108062025881,0.166625725526094,"9","EMX2"
"SH3BP1",0.111058336106121,0.282002474936979,"10","SH3BP1"
"SERPINH1",0.111014114976435,0.0672301575396622,"14","SERPINH1"
"TRAPPC6B",0.110962848932113,0.127929860687688,"7","TRAPPC6B"
"LOC698955",0.110623146744185,0.0769393395045301,"15","FAM122A"
"SERPINA3",0.110479703195479,0.103335275662246,"7","SERPINA3"
"NOL7",0.110455309141883,0.136530386458994,"4","NOL7"
"NBEA",0.110097870550299,0.233315136249912,"17","NBEA"
"PARVA",0.110027144457205,0.013977075629811,"14","PARVA"
"RPP40",0.110015181521348,0.308647278592197,"4","RPP40"
"ULK2",0.109712303104491,0.146046432206599,"16","ULK2"
"ACP6",0.109396018021361,0.202301601168812,"1","ACP6"
"HNRNPH3",0.109370061101442,0.0419231826180192,"9","HNRNPH3"
"LOC704831",0.109164113124547,0.0250246790423874,"3",NA
"CIAPIN1",0.109121107700779,0.145087419119134,"20","CIAPIN1"
"LOC717245",0.109027475370298,0.286021349002116,"19",NA
"LOC697160",0.108881973089146,0.134995992101176,"17",NA
"ENO1",0.108674350981383,0.183240460953703,"1","ENO1"
"LOC712082",0.108654570742099,0.219546416076954,"9","DPCD"
"APLP1",0.108642720221352,0.181164179136236,"19","APLP1"
